# ProfilerVersion=2.3.811
# Application=/home/hell/Documents/projects/crowd/crowd/crowd
# ApplicationArgs=
Method , ExecutionOrder , ThreadID , CallIndex , GlobalWorkSize , GroupWorkSize , Time , LocalMemSize , DataTransferSize , GPRs , ScratchRegs , FCStacks , Wavefronts , ALUInsts , FetchInsts , WriteInsts , LDSFetchInsts , LDSWriteInsts , ALUBusy , ALUFetchRatio , ALUPacking , FetchSize , CacheHit , FetchUnitBusy , FetchUnitStalled , WriteUnitStalled , FastPath , CompletePath , PathUtilization , LDSBankConflict
workGroups__k1_Cayman1 ,     1 , 2479 , 24 , {  65536       1       1} , {  256     1     1} ,         0.02233 ,           0 , ,     5 ,     0 ,     1 ,      1024.00 ,        57.00 ,         0.00 ,         1.00 ,         0.00 ,         0.00 ,        31.91 ,        57.00 ,        74.12 ,         0.00 ,         0.00 ,         0.00 ,         0.00 ,         0.00 ,       255.00 ,         0.00 ,       100.00 ,         0.00
workItems__k2_Cayman1 ,     2 , 2479 , 35 , {  65536       1       1} , {  256     1     1} ,         0.01878 ,           0 , ,     5 ,     0 ,     1 ,      1024.00 ,        44.00 ,         0.00 ,         1.00 ,         0.00 ,         0.00 ,        26.44 ,        44.00 ,        73.30 ,         0.00 ,         0.00 ,         0.00 ,         0.00 ,         0.00 ,       255.00 ,         0.00 ,       100.00 ,         0.00
CreateBuffer ,     3 , 2479 , 58 , , , NA , ,      1024.00 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
initialize__k3_Cayman1 ,     4 , 2479 , 77 , {    256     256       1} , {   16    16     1} ,         0.28700 ,        1024 , ,     3 ,     0 ,     3 ,      1024.00 ,        94.50 ,         1.00 ,         0.25 ,         8.00 ,         0.00 ,        34.45 ,        94.50 ,        32.74 ,      1024.00 ,         0.00 ,         3.61 ,         2.91 ,         0.00 ,         0.50 ,         0.00 ,       100.00 ,         0.00
CreateBuffer ,     5 , 2479 , 92 , , , NA , ,         0.06 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,     6 , 2479 , 93 , , , NA , ,         0.03 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
averageVelocity__k4_Cayman1 ,     7 , 2479 , 117 , {  65536       1       1} , {  256     1     1} ,         0.02222 ,           0 , ,     3 ,     0 ,     1 ,      1024.00 ,        15.00 ,         1.00 ,         1.00 ,         0.00 ,         0.00 ,         7.02 ,        15.00 ,        40.00 ,      1024.00 ,         0.00 ,         6.69 ,         6.02 ,        20.32 ,      1024.00 ,         0.00 ,       100.00 ,         0.00
speed__k5_Cayman1 ,     8 , 2479 , 123 , {  65536       1       1} , {  256     1     1} ,         0.02422 ,           0 , ,     8 ,     0 ,     1 ,      1024.00 ,        56.00 ,         4.00 ,         1.00 ,         0.00 ,         0.00 ,        17.96 ,        14.00 ,        87.95 ,      1029.88 ,        66.73 ,         6.81 ,         2.52 ,        13.26 ,      1024.62 ,         0.00 ,       100.00 ,         0.00
cost__k6_Cayman1 ,     9 , 2479 , 132 , {  65536       1       1} , {  256     1     1} ,         0.03511 ,           0 , ,    10 ,     0 ,     1 ,      1024.00 ,        53.00 ,         5.00 ,         1.00 ,         0.00 ,         0.00 ,        11.70 ,        10.60 ,        84.43 ,      2051.31 ,        50.22 ,        19.49 ,        16.94 ,        12.26 ,      1024.00 ,         0.00 ,       100.00 ,         0.00
CopyBuffer ,    10 , 2479 , 141 , , ,         0.05589 , ,       256.00 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
