# ProfilerVersion=2.3.811
# Application=/home/hell/Documents/projects/crowd/crowd/crowd
# ApplicationArgs=
Method , ExecutionOrder , ThreadID , CallIndex , GlobalWorkSize , GroupWorkSize , Time , LocalMemSize , DataTransferSize , GPRs , ScratchRegs , FCStacks , Wavefronts , ALUInsts , FetchInsts , WriteInsts , LDSFetchInsts , LDSWriteInsts , ALUBusy , ALUFetchRatio , ALUPacking , FetchSize , CacheHit , FetchUnitBusy , FetchUnitStalled , WriteUnitStalled , FastPath , CompletePath , PathUtilization , LDSBankConflict
workGroups__k1_Cayman1 ,     1 , 3013 , 24 , {  65536       1       1} , {  256     1     1} ,         0.02222 ,           0 , ,     5 ,     0 ,     1 ,      1024.00 ,        57.00 ,         0.00 ,         1.00 ,         0.00 ,         0.00 ,        31.53 ,        57.00 ,        74.12 ,         0.00 ,         0.00 ,         0.00 ,         0.00 ,         0.00 ,       255.00 ,         0.00 ,       100.00 ,         0.00
workItems__k2_Cayman1 ,     2 , 3013 , 35 , {  65536       1       1} , {  256     1     1} ,         0.01878 ,           0 , ,     5 ,     0 ,     1 ,      1024.00 ,        44.00 ,         0.00 ,         1.00 ,         0.00 ,         0.00 ,        26.46 ,        44.00 ,        73.30 ,         0.00 ,         0.00 ,         0.00 ,         0.00 ,         0.00 ,       255.00 ,         0.00 ,       100.00 ,         0.00
CreateBuffer ,     3 , 3013 , 58 , , , NA , ,      1024.00 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
initialize__k3_Cayman1 ,     4 , 3013 , 77 , {    256     256       1} , {   16    16     1} ,         0.29178 ,        1024 , ,     3 ,     0 ,     3 ,      1024.00 ,        94.50 ,         1.00 ,         0.25 ,         8.00 ,         0.00 ,        35.04 ,        94.50 ,        32.74 ,      1024.00 ,         0.00 ,         3.57 ,         2.55 ,         0.00 ,         0.50 ,         0.00 ,       100.00 ,         0.00
CreateBuffer ,     5 , 3013 , 92 , , , NA , ,         0.06 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,     6 , 3013 , 93 , , , NA , ,         0.03 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
averageVelocity__k4_Cayman1 ,     7 , 3013 , 117 , {  65536       1       1} , {  256     1     1} ,         0.02233 ,           0 , ,     3 ,     0 ,     1 ,      1024.00 ,        15.00 ,         1.00 ,         1.00 ,         0.00 ,         0.00 ,         7.16 ,        15.00 ,        40.00 ,      1024.00 ,         0.00 ,         6.46 ,         6.09 ,        19.98 ,      1024.00 ,         0.00 ,       100.00 ,         0.00
speed__k5_Cayman1 ,     8 , 3013 , 123 , {  65536       1       1} , {  256     1     1} ,         0.02411 ,           0 , ,     8 ,     0 ,     1 ,      1024.00 ,        56.00 ,         4.00 ,         1.00 ,         0.00 ,         0.00 ,        17.93 ,        14.00 ,        87.95 ,      1027.06 ,        66.82 ,         6.23 ,         1.53 ,        12.69 ,      1024.00 ,         0.00 ,       100.00 ,         0.00
cost__k6_Cayman1 ,     9 , 3013 , 132 , {  65536       1       1} , {  256     1     1} ,         0.03533 ,           0 , ,    10 ,     0 ,     1 ,      1024.00 ,        53.00 ,         5.00 ,         1.00 ,         0.00 ,         0.00 ,        11.68 ,        10.60 ,        84.43 ,      2049.00 ,        50.27 ,        19.40 ,        16.99 ,        13.25 ,      1024.00 ,         0.00 ,       100.00 ,         0.00
CopyBuffer ,    10 , 3013 , 141 , , ,         0.05589 , ,       256.00 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CopyBuffer ,    11 , 3013 , 143 , , ,         0.06167 , ,      1024.00 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
potential__k7_Cayman1 ,    12 , 3013 , 149 , {    256     256       1} , {   16    16     1} ,         0.11067 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,        80.91 ,         1.48 ,         0.32 ,        10.01 ,         0.95 ,         9.28 ,        54.72 ,        61.28 ,       158.44 ,        24.78 ,         0.27 ,         0.09 ,         0.00 ,        51.88 ,         0.00 ,       100.00 ,         0.85
potential__k7_Cayman1 ,    13 , 3013 , 153 , {    256     256       1} , {   16    16     1} ,         0.12700 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,        93.25 ,         1.64 ,         0.35 ,        12.08 ,         1.21 ,         9.39 ,        56.97 ,        61.70 ,       210.44 ,        28.60 ,         0.29 ,         0.10 ,         0.00 ,        67.12 ,         0.00 ,       100.00 ,         0.93
potential__k7_Cayman1 ,    14 , 3013 , 157 , {    256     256       1} , {   16    16     1} ,         0.12667 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       103.54 ,         1.73 ,         0.37 ,        13.85 ,         1.44 ,        10.43 ,        60.00 ,        62.82 ,       250.00 ,        27.97 ,         0.32 ,         0.14 ,         0.00 ,        51.38 ,         0.00 ,       100.00 ,         1.10
potential__k7_Cayman1 ,    15 , 3013 , 161 , {    256     256       1} , {   16    16     1} ,         0.13933 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       114.05 ,         1.80 ,         0.39 ,        15.60 ,         1.66 ,        10.91 ,        63.33 ,        64.19 ,       291.31 ,        27.32 ,         0.35 ,         0.17 ,         0.00 ,        83.88 ,         0.00 ,       100.00 ,         1.21
potential__k7_Cayman1 ,    16 , 3013 , 165 , {    256     256       1} , {   16    16     1} ,         0.12733 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       124.51 ,         1.88 ,         0.41 ,        17.36 ,         1.89 ,        12.60 ,        66.20 ,        65.22 ,       329.94 ,        27.26 ,         0.39 ,         0.14 ,         0.00 ,       150.75 ,         0.00 ,       100.00 ,         1.45
potential__k7_Cayman1 ,    17 , 3013 , 169 , {    256     256       1} , {   16    16     1} ,         0.18267 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       143.01 ,         2.00 ,         0.44 ,        20.62 ,         2.30 ,        11.36 ,        71.65 ,        66.89 ,       386.94 ,        26.63 ,         0.34 ,         0.18 ,         0.00 ,       181.00 ,         0.00 ,       100.00 ,         1.40
potential__k7_Cayman1 ,    18 , 3013 , 173 , {    256     256       1} , {   16    16     1} ,         0.15067 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       150.90 ,         2.10 ,         0.46 ,        21.82 ,         2.46 ,        13.74 ,        71.80 ,        66.88 ,       433.75 ,        26.58 ,         0.43 ,         0.18 ,         0.00 ,       263.00 ,         0.00 ,       100.00 ,         1.69
potential__k7_Cayman1 ,    19 , 3013 , 177 , {    256     256       1} , {   16    16     1} ,         0.16989 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       190.57 ,         2.24 ,         0.50 ,        29.18 ,         3.36 ,        16.04 ,        85.07 ,        70.09 ,       502.19 ,        26.95 ,         0.44 ,         0.18 ,         0.00 ,       293.00 ,         0.00 ,       100.00 ,         2.23
potential__k7_Cayman1 ,    20 , 3013 , 181 , {    256     256       1} , {   16    16     1} ,         0.17911 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       224.74 ,         2.38 ,         0.54 ,        35.31 ,         4.12 ,        18.21 ,        94.40 ,        71.92 ,       585.50 ,        26.11 ,         0.47 ,         0.17 ,         0.00 ,       298.00 ,         0.00 ,       100.00 ,         2.66
potential__k7_Cayman1 ,    21 , 3013 , 185 , {    256     256       1} , {   16    16     1} ,         0.23978 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       273.39 ,         2.56 ,         0.58 ,        44.24 ,         5.22 ,        18.00 ,       106.77 ,        73.75 ,       677.25 ,        26.08 ,         0.43 ,         0.15 ,         0.00 ,       311.75 ,         0.00 ,       100.00 ,         2.79
potential__k7_Cayman1 ,    22 , 3013 , 189 , {    256     256       1} , {   16    16     1} ,         0.24300 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       324.52 ,         2.78 ,         0.64 ,        53.44 ,         6.37 ,        21.12 ,       116.60 ,        74.98 ,       796.44 ,        25.48 ,         0.49 ,         0.19 ,         0.00 ,       380.00 ,         0.00 ,       100.00 ,         3.38
potential__k7_Cayman1 ,    23 , 3013 , 193 , {    256     256       1} , {   16    16     1} ,         0.26222 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       389.51 ,         3.01 ,         0.70 ,        65.34 ,         7.84 ,        24.03 ,       129.20 ,        76.26 ,       924.00 ,        25.51 ,         0.53 ,         0.19 ,         0.00 ,       471.25 ,         0.00 ,       100.00 ,         4.03
potential__k7_Cayman1 ,    24 , 3013 , 197 , {    256     256       1} , {   16    16     1} ,         0.27867 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       479.54 ,         3.36 ,         0.79 ,        81.81 ,         9.87 ,        28.25 ,       142.75 ,        77.36 ,      1099.19 ,        25.50 ,         0.57 ,         0.21 ,         0.00 ,       573.50 ,         0.00 ,       100.00 ,         4.83
potential__k7_Cayman1 ,    25 , 3013 , 201 , {    256     256       1} , {   16    16     1} ,         0.30933 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       564.07 ,         3.71 ,         0.89 ,        97.04 ,        11.76 ,        30.68 ,       152.24 ,        78.06 ,      1294.69 ,        25.08 ,         0.60 ,         0.20 ,         0.00 ,       701.50 ,         0.00 ,       100.00 ,         5.32
potential__k7_Cayman1 ,    26 , 3013 , 205 , {    256     256       1} , {   16    16     1} ,         0.35367 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       673.32 ,         4.19 ,         1.01 ,       116.86 ,        14.21 ,        32.79 ,       160.87 ,        78.56 ,      1532.50 ,        25.33 ,         0.62 ,         0.22 ,         0.00 ,       784.50 ,         0.00 ,       100.00 ,         5.81
potential__k7_Cayman1 ,    27 , 3013 , 209 , {    256     256       1} , {   16    16     1} ,         0.34822 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       754.78 ,         4.47 ,         1.09 ,       131.72 ,        16.05 ,        37.21 ,       168.98 ,        79.05 ,      1683.81 ,        25.51 ,         0.68 ,         0.20 ,         0.00 ,       845.38 ,         0.00 ,       100.00 ,         6.62
potential__k7_Cayman1 ,    28 , 3013 , 213 , {    256     256       1} , {   16    16     1} ,         0.37756 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       827.98 ,         4.73 ,         1.16 ,       145.11 ,        17.70 ,        38.36 ,       175.21 ,        79.39 ,      1825.06 ,        25.22 ,         0.68 ,         0.22 ,         0.00 ,       865.25 ,         0.00 ,       100.00 ,         6.88
potential__k7_Cayman1 ,    29 , 3013 , 217 , {    256     256       1} , {   16    16     1} ,         0.36945 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       849.09 ,         4.69 ,         1.16 ,       149.07 ,        18.19 ,        40.03 ,       181.18 ,        79.75 ,      1840.50 ,        25.15 ,         0.70 ,         0.25 ,         0.00 ,       926.62 ,         0.00 ,       100.00 ,         7.22
potential__k7_Cayman1 ,    30 , 3013 , 221 , {    256     256       1} , {   16    16     1} ,         0.37267 ,        6400 , ,    22 ,     0 ,     4 ,      1024.00 ,       890.53 ,         4.85 ,         1.20 ,       156.59 ,        19.12 ,        41.70 ,       183.70 ,        79.87 ,      1924.81 ,        25.24 ,         0.73 ,         0.22 ,         0.00 ,       931.50 ,         0.00 ,       100.00 ,         7.54
